meter_id,facility,period_start,period_end,opening_reading,closing_reading,consumption,unit,tariff,sanctioned_load
MTR-BOM-001,Mumbai HQ - Floor 1-5,01/12/2023,31/12/2023,124500,125847,1347,kWh,HT-I,150
MTR-BOM-002,Mumbai HQ - Floor 6-10,01/12/2023,31/12/2023,98200,99418,1218,kWh,HT-I,150
MTR-BOM-003,Mumbai Warehouse A,01/12/2023,02/01/2024,45600,47230,1630,kWh,LT-II,75
MTR-PUN-001,Pune Manufacturing Plant,01/12/2023,31/12/2023,312000,318450,6450,kWh,HT-II,500
MTR-PUN-002,Pune Admin Block,01/12/2023,31/12/2023,22100,22687,587,kWh,LT-I,25
MTR-DEL-001,Delhi Office,03/12/2023,04/01/2024,67800,68945,1145,kWh,LT-I,50
MTR-BLR-001,Bangalore Tech Park,01/12/2023,31/12/2023,189000,192340,3340,kWh,HT-I,200
MTR-BLR-002,Bangalore Data Center,01/12/2023,31/12/2023,445000,449820,4820,kWh,HT-II,400
MTR-HYD-001,Hyderabad R&D Campus,01/12/2023,31/12/2023,78900,80124,1224,kWh,LT-I,100
MTR-PUN-003,Pune Canteen Block,01/12/2023,31/12/2023,8900,9012,112,kWh,LT-I,10
MTR-BOM-004,Mumbai Server Room,01/12/2023,31/12/2023,34500,34500,0,kWh,LT-I,20
MTR-PUN-004,Pune Plant - DG Set,01/12/2023,31/12/2023,,,2800,kWh,HT-II,250
